"date","source","cases"
2007-01-28,"confirmed",0
2007-02-04,"confirmed",0
2007-02-11,"confirmed",0
2007-02-18,"confirmed",0
2007-02-25,"confirmed",0
2007-03-04,"confirmed",0
2007-03-11,"confirmed",0
2007-03-18,"confirmed",0
2007-03-25,"confirmed",0
2007-04-01,"confirmed",0
2007-04-08,"confirmed",0
2007-04-15,"confirmed",0
2007-04-22,"confirmed",0
2007-04-29,"confirmed",0
2007-05-06,"confirmed",0
2007-05-13,"confirmed",0
2007-05-20,"confirmed",0
2007-05-27,"confirmed",0
2007-06-03,"confirmed",0
2007-06-10,"confirmed",0
2007-06-17,"confirmed",0
2007-06-24,"confirmed",0
2007-07-01,"confirmed",0
2007-07-08,"confirmed",0
2007-07-15,"confirmed",0
2007-07-22,"confirmed",0
2007-07-29,"confirmed",0
2007-08-05,"confirmed",0
2007-08-12,"confirmed",0
2007-08-19,"confirmed",0
2007-08-26,"confirmed",0
2007-09-02,"confirmed",0
2007-09-09,"confirmed",0
2007-09-16,"confirmed",0
2007-09-23,"confirmed",0
2007-09-30,"confirmed",0
2007-10-07,"confirmed",0
2007-10-14,"confirmed",0
2007-10-21,"confirmed",0
2007-10-28,"confirmed",0
2007-11-04,"confirmed",0
2007-11-11,"confirmed",0
2007-11-18,"confirmed",0
2007-11-25,"confirmed",0
2007-12-02,"confirmed",0
2007-12-09,"confirmed",0
2007-12-16,"confirmed",0
2007-12-23,"confirmed",0
2007-12-30,"confirmed",0
2008-01-06,"confirmed",0
2008-01-13,"confirmed",0
2008-01-20,"confirmed",0
2008-01-27,"confirmed",0
2008-02-03,"confirmed",0
2008-02-10,"confirmed",0
2008-02-17,"confirmed",0
2008-02-24,"confirmed",0
2008-03-02,"confirmed",0
2008-03-09,"confirmed",0
2008-03-16,"confirmed",0
2008-03-23,"confirmed",0
2008-03-30,"confirmed",0
2008-04-06,"confirmed",0
2008-04-13,"confirmed",0
2008-04-20,"confirmed",0
2008-04-27,"confirmed",0
2008-05-04,"confirmed",0
2008-05-11,"confirmed",0
2008-05-18,"confirmed",0
2008-05-25,"confirmed",0
2008-06-01,"confirmed",0
2008-06-08,"confirmed",0
2008-06-15,"confirmed",0
2008-06-22,"confirmed",0
2008-06-29,"confirmed",0
2008-07-06,"confirmed",0
2008-07-13,"confirmed",0
2008-07-20,"confirmed",0
2008-07-27,"confirmed",0
2008-08-03,"confirmed",0
2008-08-10,"confirmed",0
2008-08-17,"confirmed",0
2008-08-24,"confirmed",0
2008-08-31,"confirmed",0
2008-09-07,"confirmed",0
2008-09-14,"confirmed",0
2008-09-21,"confirmed",0
2008-09-28,"confirmed",0
2008-10-05,"confirmed",0
2008-10-12,"confirmed",0
2008-10-19,"confirmed",0
2008-10-26,"confirmed",0
2008-11-02,"confirmed",0
2008-11-09,"confirmed",0
2008-11-16,"confirmed",0
2008-11-23,"confirmed",0
2008-11-30,"confirmed",0
2008-12-07,"confirmed",0
2008-12-14,"confirmed",0
2008-12-21,"confirmed",0
2008-12-28,"confirmed",0
2009-01-04,"confirmed",0
2009-01-11,"confirmed",0
2009-01-18,"confirmed",0
2009-01-25,"confirmed",0
2009-02-01,"confirmed",0
2009-02-08,"confirmed",0
2009-02-15,"confirmed",0
2009-02-22,"confirmed",0
2009-03-01,"confirmed",0
2009-03-08,"confirmed",0
2009-03-15,"confirmed",0
2009-03-22,"confirmed",0
2009-03-29,"confirmed",0
2009-04-05,"confirmed",0
2009-04-12,"confirmed",0
2009-04-19,"confirmed",0
2009-04-26,"confirmed",0
2009-05-03,"confirmed",0
2009-05-10,"confirmed",0
2009-05-17,"confirmed",0
2009-05-24,"confirmed",0
2009-05-31,"confirmed",0
2009-06-07,"confirmed",0
2009-06-14,"confirmed",0
2009-06-21,"confirmed",0
2009-06-28,"confirmed",0
2009-07-05,"confirmed",0
2009-07-12,"confirmed",0
2009-07-19,"confirmed",0
2009-07-26,"confirmed",0
2009-08-02,"confirmed",0
2009-08-09,"confirmed",0
2009-08-16,"confirmed",0
2009-08-23,"confirmed",0
2009-08-30,"confirmed",0
2009-09-06,"confirmed",0
2009-09-13,"confirmed",0
2009-09-20,"confirmed",0
2009-09-27,"confirmed",0
2009-10-04,"confirmed",0
2009-10-11,"confirmed",0
2009-10-18,"confirmed",0
2009-10-25,"confirmed",0
2009-11-01,"confirmed",0
2009-11-08,"confirmed",0
2009-11-15,"confirmed",0
2009-11-22,"confirmed",0
2009-11-29,"confirmed",0
2009-12-06,"confirmed",0
2009-12-13,"confirmed",0
2009-12-20,"confirmed",0
2009-12-27,"confirmed",0
2010-01-03,"confirmed",0
2010-01-10,"confirmed",0
2010-01-17,"confirmed",0
2010-01-24,"confirmed",0
2010-01-31,"confirmed",0
2010-02-07,"confirmed",0
2010-02-14,"confirmed",0
2010-02-21,"confirmed",0
2010-02-28,"confirmed",0
2010-03-07,"confirmed",0
2010-03-14,"confirmed",0
2010-03-21,"confirmed",0
2010-03-28,"confirmed",0
2010-04-04,"confirmed",0
2010-04-11,"confirmed",0
2010-04-18,"confirmed",0
2010-04-25,"confirmed",0
2010-05-02,"confirmed",0
2010-05-09,"confirmed",0
2010-05-16,"confirmed",0
2010-05-23,"confirmed",0
2010-05-30,"confirmed",0
2010-06-06,"confirmed",0
2010-06-13,"confirmed",0
2010-06-20,"confirmed",0
2010-06-27,"confirmed",0
2010-07-04,"confirmed",0
2010-07-11,"confirmed",0
2010-07-18,"confirmed",0
2010-07-25,"confirmed",0
2010-08-01,"confirmed",0
2010-08-08,"confirmed",0
2010-08-15,"confirmed",0
2010-08-22,"confirmed",0
2010-08-29,"confirmed",0
2010-09-05,"confirmed",0
2010-09-12,"confirmed",0
2010-09-19,"confirmed",0
2010-09-26,"confirmed",0
2010-10-03,"confirmed",0
2010-10-10,"confirmed",0
2010-10-17,"confirmed",0
2010-10-24,"confirmed",0
